"CZ_TYPE","US_FIPS","lat","long"
"C",17183,40.186754,-87.726778
"C",17185,38.445821,-87.839167
"C",17187,40.850441,-90.620223
"C",17189,38.35314,-89.417187
"C",17191,38.431857,-88.43243
"C",17193,38.087326,-88.178623
"C",17195,41.750673,-89.911005
"C",17197,41.448474,-87.978456
"C",17199,37.730353,-88.930018
"C",17201,42.337396,-89.161205
"C",17203,40.789787,-89.210587
"C",18001,40.745733,-84.93613
"C",18003,41.091909,-85.071791
"C",18005,39.205843,-85.897999
"C",18007,40.600939,-87.314786
"C",18009,40.472672,-85.32373
"C",18011,40.050892,-86.469014
"C",18013,39.195113,-86.230121
"C",18015,40.58498,-86.565141
"C",18017,40.753799,-86.355168
"C",18019,38.476217,-85.711122
"C",18021,39.393928,-87.115858
"C",18023,40.305944,-86.477567
"C",18025,38.289433,-86.440871
"C",18027,38.69609,-87.076943
"C",18029,39.14832,-84.973498
"C",18031,39.30598,-85.499831
"C",18033,41.401189,-85.000185
"C",18035,40.227543,-85.399262
"C",18037,38.373344,-86.873385
"C",18039,41.600693,-85.863986
"C",18041,39.639655,-85.185032
"C",18043,38.318081,-85.911847
"C",18045,40.121237,-87.234872
"C",18047,39.409762,-85.066964
"C",18049,41.050384,-86.265006
"C",18051,38.317398,-87.580523
"C",18053,40.515758,-85.654946
"C",18055,39.047147,-87.004771
"C",18057,40.053507,-86.021713
"C",18059,39.822529,-85.77315
"C",18061,38.186454,-86.103766
"C",18063,39.768963,-86.509908
"C",18065,39.929591,-85.397363
"C",18067,40.483537,-86.114118
"C",18069,40.826394,-85.478597
"C",18071,38.911957,-86.042516
"C",18073,41.017688,-87.118814
"C",18075,40.434956,-85.002331
"C",18077,38.783604,-85.44009
"C",18079,38.996229,-85.628103
"C",18081,39.496092,-86.094264
"C",18083,38.688391,-87.420354
"C",18085,41.244293,-85.861575
"C",18087,41.642462,-85.427845
"C",18089,41.472247,-87.374337
"C",18091,41.549013,-86.744739
"C",18093,38.839815,-86.48782
"C",18095,40.166203,-85.722454
"C",18097,39.782976,-86.135794
"C",18099,41.325003,-86.269036
"C",18101,38.705322,-86.801847
"C",18103,40.772883,-86.044258
"C",18105,39.160729,-86.52331
